chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
NKLA,2024-09-06,6.5000,call,buy,2024-09-06T13:33:30.856963Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
NKLA,2024-09-06,6.5000,call,buy,2024-09-06T13:33:12.416086Z,debit,1.00000,limit,,short_call,0.01000000,1.00000
NKLA,2024-09-06,6.5000,call,sell,2024-09-03T16:19:19.559390Z,credit,2.00000,limit,short_call,,0.12000000,2.00000
NKLA,2024-08-30,6.5000,call,buy,2024-08-30T13:55:18.499710Z,debit,1.00000,limit,long_call,,0.07000000,1.00000
NKLA,2024-08-30,7.5000,call,buy,2024-08-27T14:50:26.325268Z,debit,1.00000,limit,,short_call,0.08000000,1.00000
NKLA,2024-08-30,7.5000,call,sell,2024-08-26T13:36:43.743544Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
NKLA,2024-08-23,8.0000,put,sell,2024-08-15T17:46:41.042635Z,credit,1.00000,limit,short_put,,0.29000000,1.00000
ASTS,2024-08-16,16.5000,put,buy,2024-08-15T17:31:20.807431Z,debit,1.00000,limit,,short_put,0.05000000,1.00000
ASTS,2024-08-16,16.5000,put,sell,2024-08-12T18:30:23.284269Z,credit,1.00000,limit,short_put,,0.50000000,1.00000
RILY,2024-08-09,15.5000,put,sell,2024-08-06T19:14:30.350507Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
ASTS,2024-08-09,16.0000,put,buy,2024-08-05T15:15:36.593768Z,debit,1.00000,limit,,short_put,0.25000000,1.00000
ASTS,2024-08-09,16.0000,put,sell,2024-08-05T13:41:50.976336Z,credit,1.00000,limit,short_put,,0.55000000,1.00000
ASTS,2024-08-02,19.5000,put,sell,2024-07-31T18:24:59.276075Z,credit,1.00000,limit,short_put,,0.60000000,1.00000
ASTS,2024-08-09,17.0000,put,buy,2024-07-31T18:22:59.871019Z,debit,1.00000,limit,,short_put,0.45000000,1.00000
ASTS,2024-08-09,17.0000,put,sell,2024-07-29T19:51:31.707465Z,credit,1.00000,limit,short_put,,0.75000000,1.00000
RILY,2024-07-26,18.0000,call,sell,2024-07-24T19:51:52.502458Z,credit,1.00000,limit,short_call,,0.10000000,1.00000
RILY,2024-08-09,20.0000,call,buy,2024-07-24T19:16:42.767959Z,debit,1.00000,limit,,short_call,0.70000000,1.00000
RILY,2024-08-09,20.0000,call,sell,2024-07-15T16:46:56.137244Z,credit,1.00000,limit,short_call,,1.50000000,1.00000
RILY,2024-07-12,16.0000,call,buy,2024-07-12T16:19:59.285268Z,debit,1.00000,limit,,short_call,2.00000000,1.00000
TQQQ,2024-07-26,82.0000,call,sell,2024-07-11T15:10:34.192838Z,credit,1.00000,limit,,long_call,2.40000000,1.00000
TQQQ,2024-07-26,82.0000,call,buy,2024-07-11T15:09:43.859368Z,debit,1.00000,limit,long_call,,3.05000000,1.00000
RILY,2024-07-12,16.0000,call,sell,2024-07-08T15:24:11.195576Z,credit,1.00000,limit,short_call,,0.50000000,1.00000
RILY,2024-07-05,16.5000,put,sell,2024-07-01T16:07:49.412902Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
ASTS,2024-06-28,9.5000,put,sell,2024-06-25T14:35:45.869929Z,credit,1.00000,limit,short_put,,0.20000000,1.00000
ASTS,2024-06-28,10.5000,call,sell,2024-06-25T14:33:14.157975Z,credit,1.00000,limit,short_call,,0.50000000,1.00000
ASTS,2024-06-21,10.5000,put,sell,2024-06-18T17:55:28.792619Z,credit,1.00000,limit,short_put,,0.20000000,1.00000
